pid,time,indexfinger.X,indexfinger.Y,indexfinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperarm.X,upperarm.Y,upperarm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexfingerO.X,indexfingerO.Y,indexfingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperarmO.X,upperarmO.Y,upperarmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
4,5.44,0.2565208,1.3954520000000001,-0.5088278,0.6030456999999999,1.419997,-0.4585076,0.45630420000000005,1.403402,-0.46241309999999997,0.26255320000000004,1.4012799999999999,-0.4300781,0.0743403,1.365572,-0.36072709999999997,-0.0490203,1.560085,-0.2522197,-0.1654085,1.318015,-0.3210243,0.0940307,-0.8038649999999999,0.2834961,0.159075,0.7609953,0.6115145000000001,0.2185499,-0.6871824000000001,0.2280013,-0.12950830000000002,0.6670590000000001,-0.17212249999999998,-0.0640926,0.2364549,0.0388802,0.0956975,-0.0032418,0.0255143,0.06703189999999999,0.177703,0.05687090000000001
4,9.794,0.0817622,1.445678,0.2932708,0.10269600000000001,1.4147049999999999,0.1178576,0.137722,1.404083,-0.0236515,0.141595,1.388578,-0.224971,0.10874400000000001,1.433574,-0.06235980000000001,-0.0287004,1.562465,-0.2757413,-0.1463348,1.319828,-0.333407,-0.1350738,-0.6755502,0.1242452,-0.521564,0.534098,0.5646074000000001,-0.017068200000000002,0.051410800000000006,0.14134349999999998,0.0449174,-0.030118000000000002,-0.2163909,0.4045489,-0.1219219,0.3439262,0.0801597,-0.0010649000000000001,0.031121,0.0887304,0.18193199999999998,0.0760259
5,0.0,0.2631949,0.6673416,-0.3613114,0.2695238,0.8578735000000001,-0.39241950000000003,0.266058,0.9791549,-0.409211,0.2315379,1.213262,-0.44459090000000007,0.1398978,1.390097,-0.4210349,0.0175876,1.6708599999999998,-0.3154077,-0.11079069999999999,1.402863,-0.42066570000000003,0.3968751,-0.4685048,-0.47559819999999997,-0.0293193,-0.1640128,-0.7875601999999999,0.6368946,0.2079384,-0.17376760000000002,0.5900513000000001,0.2527267,-0.31406890000000004,-0.1073316,0.1105488,-0.024955900000000003,-0.1316828,-0.0683572,0.0118293,0.1550789,0.2425034,0.0693926
5,4.841,0.9145938,1.608725,-0.4839695,0.7234752,1.588215,-0.4698639,0.5941853,1.570309,-0.47621369999999996,0.3577119,1.522463,-0.47618809999999995,0.134537,1.415649,-0.4184318,0.0091603,1.672725,-0.2938875,-0.11942219999999999,1.399592,-0.39388670000000003,0.0539899,0.1016589,0.1269424,-0.12282989999999999,-0.6560208000000001,-0.7204775999999999,-0.0933283,0.7051883000000001,-0.0522367,-0.0910128,0.6214408,0.005765600000000001,-0.0817421,0.2745665,0.020199400000000003,-0.1281511,-0.0891302,0.0105983,0.1481593,0.24519520000000003,0.0553067
5,8.773,0.14360320000000001,1.576341,0.3306211,0.1512105,1.541148,0.1416223,0.1660118,1.530002,0.014364400000000001,0.17949890000000002,1.493183,-0.2256824,0.10387819999999999,1.420025,-0.39404870000000003,0.0084156,1.6682299999999999,-0.305062,-0.12198959999999999,1.402576,-0.42312120000000003,-0.0845176,-0.6589479,0.1714346,0.48820740000000007,-0.5814798000000001,-0.5561781,-0.011314399999999999,-0.020430700000000003,-0.025142400000000002,-0.033368199999999994,-0.097872,-0.0646082,0.0198115,-0.0034871000000000004,0.07310130000000001,-0.1370936,-0.055366599999999995,0.020028099999999997,0.1420846,0.30224829999999997,0.0772332
6,0.0,0.26606440000000003,0.7115068,-0.34030859999999996,0.256813,0.9224303,-0.3454665,0.2454715,1.046131,-0.3578808,0.2237814,1.324948,-0.378872,0.1018572,1.53844,-0.35382290000000005,-0.0035735999999999997,1.71845,-0.192419,-0.14349220000000001,1.5515940000000001,-0.33762459999999994,0.4211566,-0.311743,-0.5758462,-0.0796899,-0.2152821,-0.8236207,0.6939828,0.1284147,-0.12673810000000002,-0.6576065999999999,-0.2127035,0.2388384,-0.1626934,0.08123639999999999,-0.0185858,0.3917162,0.0436968,0.015184200000000002,-0.1940738,-0.1439521,-0.024219400000000002
6,4.4417,0.9988916999999999,1.631157,-0.46349009999999996,0.7897991999999999,1.624527,-0.4469805,0.6618647,1.620113,-0.44683420000000007,0.37975570000000003,1.6141940000000001,-0.4428861,0.1150934,1.58254,-0.386768,-0.0050046000000000005,1.74325,-0.21638449999999998,-0.1380036,1.55082,-0.35134920000000003,-0.1157627,0.121795,0.006998999999999999,-0.0564433,-0.7104672,-0.6659769,0.030529300000000002,0.687643,-0.0328857,-0.0625366,-0.6498944000000001,-0.0082751,-0.14615029999999998,0.048012,0.0808474,0.3297757,0.043045,0.0375529,-0.196456,-0.13712560000000001,-0.0035664
6,8.6733,-0.0021351,1.689572,0.43679250000000003,0.0197211,1.6642990000000002,0.23122649999999997,0.0437162,1.6492360000000001,0.10504580000000001,0.09487410000000002,1.621846,-0.17383800000000002,0.0457483,1.586719,-0.3573067,-0.029980700000000002,1.7741759999999998,-0.2550578,-0.1637227,1.550719,-0.3842946,-0.0941763,-0.6839329000000001,0.021200599999999997,0.5304245,-0.6043977,-0.4732389,0.020109000000000002,-0.0897409,0.028374299999999998,0.013168700000000002,0.1827934,0.0083762,-0.063983,-0.2335491,0.0758651,0.2373245,0.0314359,0.0180836,-0.20504850000000002,-0.199468,-0.0161631
7,0.0,0.20946020000000004,0.6531996999999999,-0.31716669999999997,0.22227660000000002,0.8598937,-0.3221687,0.22630949999999997,1.0061881,-0.3350788,0.2229404,1.2680040000000001,-0.378538,0.10918030000000001,1.4822950000000001,-0.39244409999999996,-0.0030404,1.642023,-0.23891729999999997,-0.1260204,1.472063,-0.40624879999999997,0.4906679,-0.5034028,-0.4555079000000001,-0.0759804,0.0316715,0.8067809,0.6998991,0.028340399999999998,-0.026443900000000003,0.5931504,0.23331060000000003,-0.35588509999999995,0.27664720000000004,0.0769658,0.09371360000000001,0.2758291,0.0517365,-0.0195168,-0.2574548,-0.3057224,-0.1647711
7,11.3941,0.5726690999999999,1.651068,-0.4192976,0.7074746000000001,1.609544,-0.4166393,0.5572129,1.607716,-0.4328643,0.29813720000000005,1.573452,-0.4586981,0.06694939999999999,1.535768,-0.420466,-0.0313908,1.6959919999999997,-0.27799009999999996,-0.1584065,1.470833,-0.3725009,0.8765968000000001,0.05383240000000001,0.4095738,0.020163999999999998,0.6360281999999999,0.7613108000000001,0.0551962,0.6852411,0.015908600000000002,-0.1457383,0.5950888000000001,-0.0777099,0.3035817,0.0017219000000000002,-0.0723052,0.0885592,0.0957548,-0.0157201,-0.25997929999999997,-0.240835,-0.089871
7,15.0144,0.023640500000000002,1.6032110000000002,0.42132559999999997,0.0527562,1.5858379999999999,0.219286,0.076153,1.587598,0.0695191,0.1240316,1.546725,-0.2000484,0.055596900000000005,1.514702,-0.3731989,-0.010707,1.7023580000000003,-0.31347959999999997,-0.1360015,1.475731,-0.427922,-0.08993330000000001,-0.6917955,0.0886418,-0.5333545999999999,0.5483236,0.5296816,0.049486800000000004,-0.052800900000000005,-0.046056400000000004,-0.056476099999999994,-0.2107603,-0.23690300000000003,0.35190720000000003,0.2031426,0.17132260000000002,0.0717711,0.029337099999999998,-0.0367383,-0.2663798,-0.3643935,-0.15432839999999998
8,0.0,0.153748,0.6235713,-0.0266447,0.18030320000000002,0.8037842,-0.0721811,0.1687384,0.9614988999999999,-0.10268540000000001,0.1469556,1.143074,-0.0741459,0.057216499999999997,1.303029,-0.0178599,-0.06297219999999999,1.5728799999999998,0.0670345,0.428983,1.252984,0.06364109999999999,0.0946138,-0.0989346,0.8000385,0.5328520999999999,0.582322,0.46715909999999994,0.3382987,0.5674173,-0.6527050999999999,0.560699,0.3741713,-0.3953625,-0.0130357,0.2889375,-0.0056515,-0.07952730000000001,-0.10690050000000001,0.0188965,-0.3509919,-0.4939853,-0.11874349999999999
